Alpha, CMa, Sirius, A1V, -1.46, 1.43,9
Alpha, Car, Canopus, F0Ib, -0.73, -5.64,310
Alpha, Cen, Rigil Kentaurus, G2V+K1V, -0.29, 4.06,4
Alpha, Boo, Arcturus, K2III, -0.05, -0.31,37
Alpha, Lyr, Vega, A0V, 0.03, 0.58,25
Alpha, Aur, Capella, G5III+G0III, 0.07, -0.49,42
Beta, Ori, Rigel, B8Ia, 0.15v, -6.72v,770
Alpha, CMi, Procyon, F5IV-V, 0.36, 2.64,11
Alpha, Eri, Achernar, B3V, 0.45, -2.77,144
Alpha, Ori, Betelgeuse, M2Ib, 0.55v, -5.04v,430
Beta, Cen, Hadar, B1III, 0.61, -5.42,530
Alpha, Aql, Altair, A7V, 0.77, 2.21,17
Alpha, Cru, Acrux, B0.5IV+B1V, 0.79, -4.17,320
Alpha, Tau, Aldebaran, K5III, 0.86v, -0.64v,65
Alpha, Sco, Antares, M1Ib+B4V, 0.95v, -5.39v,600
Alpha, Vir, Spica, B1V+B2V, 0.97, -3.56,260
Beta, Gem, Pollux, K0III, 1.14, 1.07,34
Alpha, PsA, Fomalhaut, A3V, 1.15, 1.72,25
Alpha, Cyg, Deneb, A2Ia, 1.24, -8.74,3000
Beta, Cru, Mimosa, B0.5III, 1.26, -3.91,350
Alpha, Leo, Regulus, B7V, 1.36, -0.52,78
Epsilon, CMa, Adhara, B2II, 1.50, -4.10,430
Alpha, Gem, Castor, A1V+A2V, 1.58, 0.59,52
Lambda, Sco, Shaula, B2IV, 1.62, -5.05,700
Gamma, Cru, Gacrux, M3.5III, 1.63, -0.52,88
Gamma, Ori, Bellatrix, B2III, 1.64, -2.72,240
Beta, Tau, Elnath, B7III, 1.66, -1.36,130
Beta, Car, Miaplacidus, A2III, 1.67, -0.99,111
Epsilon, Ori, Alnilam, B0Ia, 1.69, -6.38,1300
Alpha, Gru, Alnair, B7IV, 1.74, -0.72,101
Zeta, Ori, Alnitak, O9.5Ib+B0III, 1.75, -5.25,820
Epsilon, UMa, Alioth, A0IV, 1.77, -0.20,81
Alpha, Per, Mirfak, F5Ib, 1.80, -4.49,590
Alpha, UMa, Dubhe, K0III+F0V, 1.80, -1.09,124
Gamma, Vel, Regor, WC8+O9Ib, 1.81, -5.25,840
Delta, CMa, Wezen, F8Ia, 1.83, -6.87,1800
Epsilon, Sge, Kaus Australis, B9.5III, 1.84, -1.39,145
Eta, UMa, Alkaid, B3V, 1.86, -0.59,101
Theta, Sco, Sargas, F1II, 1.86, -2.75,270
Epsilon, Car, Avior, K3II+B2V, 1.87, -4.57,630
Beta, Aur, Menkalinan, A2IV, 1.90, -0.10,82
Alpha, TrA, Atria, K2Ib-II, 1.92, -3.61,420
Gamma, Gem, Alhena, A0IV, 1.93, -0.60,105
Alpha, Pav, Peacock, B0.5V+B2V, 1.93, -1.82,180
Delta, Vel, Koo She, A0V, 1.95, 0.01,80
Beta, CMa, Mirzam, B1III, 1.98, -3.95,500
