"name","radius km","type"
"Sun","696342","star"
"Jupiter","69911","planet (gas giant); has rings"
"Saturn","58232","planet (gas giant); has rings"
"Uranus","25362","planet (ice giant); has rings"
"Neptune","24622","planet (ice giant); has rings"
"Earth","6371.00","planet (terrestrial)"
"Venus","6051.8","planet (terrestrial)"
"Mars","3389.5","planet (terrestrial)"
"Ganymede","2634.1","moon of Jupiter"
"Titan","2574.73","moon of Saturn"
"Mercury","2439.7","planet (terrestrial)"
"Callisto","2410.3","moon of Jupiter"
"Io","1821.6","moon of Jupiter"
"Moon","1737.4","moon of Earth"
"Europa","1560.8","moon of Jupiter"
"Triton","1353.4","moon of Neptune"
"Pluto","1188.3","dwarf planet; plutino; multiple"
"Eris 136199","1163","dwarf planet; SDO; binary"
"Haumea 136108","798","dwarf planet?; resonant KBO (7:12); trinary; has rings"
"Titania","788.4","moon of Uranus"
"Rhea","763.8","moon of Saturn"
"Oberon","761.4","moon of Uranus"
"Iapetus","734.5","moon of Saturn"
"Makemake 136472","715","dwarf planet; cubewano"
"2007 OR10 225088","615","dwarf planet?; resonant KBO (3:10)"
"Charon","606","moon of Pluto"
"Umbriel","584.7","moon of Uranus"
"Ariel","578.9","moon of Uranus"
"Dione","561.4","moon of Saturn"
"Quaoar 50000","560.5","cubewano; binary"
"Tethys","531.1","moon of Saturn"
"Sedna 90377","500","sednoid; detached object"
"Ceres 1","469.7","dwarf planet; belt asteroid"
"2002 MS4 307261","467","cubewano"
"Orcus 90482","458","plutino; binary"
"Salacia 120347","446","cubewano; binary"
"Vesta 4","262.7","belt asteroid type V"
"Varuna 20000","334","cubewano"
"Varda 174567","384","cubewano; binary"
"Vanth Orcus I","238","moon of 90482 Orcus"
"Proteus","210","moon of Neptune"
"Pallas 2","256","belt asteroid type B"
"Miranda","235.8","moon of Uranus"
"Ixion 28978","308","plutino"
"Hygiea 10","217","belt asteroid type C"
"Huya 38628","203","plutino; binary"
"2007 UK","319","SDO; binary"
"Enceladus","252.1","moon of Saturn"
"Dziewanna 471143","235","SDO"
"Dysnomia","350","moon of Eris"
"Chaos 19521","308","cubewano"
"2018 VG18","250","SDO"
"2017 OF69","266","plutino"
"2015 RR245 523794","335","resonant KBO (2:9)"
"2015 AM281 495603","234","resonant KBO (2:5)"
"2014 YA50","268","plutino"
"2014 WK509 523759","287","SDO"
"2014 UZ224","318","SDO"
"2014 UM33 472271","239","cubewano"
"2014 FC69","266","SDO"
"2014 EZ51 523692","308","SDO"
"2014 AN55","280","SDO"
"2013 FZ27 523671","280","SDO"
"2013 FY27 532037","370","detached object; binary"
"2012 VP113","225","sednoid"
"2011 GM27 471288","223","cubewano"
"2011 FW62","252","plutino"
"2010 VZ98 445473","201","SDO"
"2010 VK201 523645","252","cubewano"
"2010 TJ","222","SDO"
"2010 RF43","306","SDO"
"2010 RE64 523639","280","SDO"
"2010 KZ39","287","detached"
"2010 JO179","287","SDO"
"2010 FX86","274","cubewano"
"2008 ST291 528381","274","SDO"
"2007 JJ43 278361","305","cubewano"
"2006 QH181","304","SDO"
"2005 UQ513 202421","249","cubewano"
"2005 TB190 145480","232","detached object"
"2005 RN43 145452","340","cubewano"
"2005 RM43 145451","262","SDO"
"2005 QU182 303775","208","SDO"
"2004 XR190","280","SDO"
"2004 XA192 230965","274","SDO"
"2004 TY364 120348","256","cubewano"
"2004 PF115 175113","203","plutino"
"2004 NT33 444030","241","cubewano"
"2004 GV9 90568","340","cubewano"
"2003 VS2 84922","274","plutino"
"2003 UZ413 455502","268","plutino"
"2003 QX113","252","SDO"
"2003 FY128 120132","230","SDO"
"2003 AZ84 208996","353","plutino; possible binary"
"2002 XW93 78799","294","other TNO"
"2002 XV93","275","plutino"
"2002 VR128 84719","224","plutino"
"2002 UX25 55637","332","cubewano; binary"
"2002 TC302 84522","296","resonant KBO (2:5)"
"2002 KX14 119951","207.5","cubewano"
"2002 AW197 55565","384","cubewano"
"2001 UR163 42301","268","resonant KBO (4:9)"
"2001 QF298 469372","204","plutino"
"2000 YW134 82075","228","SDO"
"1999 DE9 26375","230","resonant KBO (2:5)"
"1999 CD158 469306","210","resonant KBO (4:7)"
"Chicago 334","99.385","belt asteroid type C"
"Bienor 54598","99","centaur"
"Themis 24","97.759","belt asteroid type C; Themis family"
"Larissa","97","moon of Neptune"
"Ursula 375","96.815","belt asteroid type C"
"S/2002 (2001 QC298) 1 2001 QC298 I","96","secondary of 2001 QC298"
"S/2018 (532037) 1 2013 FY27 I","95","moon of (532037) 2013 FY27"
"Amphitrite 29","94.779","belt asteroid type S"
"Daphne 41","94.5","belt asteroid type C; binary"
"Aurora 94","93.75","belt asteroid type C"
"Hermione 121","93.5","outer belt asteroid type C; binary"
"Bertha 154","93.425","belt asteroid type C"
"Hebe 6","92.59","belt asteroid type S"
"Metis 9","91.506","belt asteroid type S"
"Elektra 130","90.326","belt asteroid type G; trinary"
"Loreley 165","90.042","belt asteroid type C"
"Janus Saturn X","89.5","moon of Saturn"
"Teharonhiawako 88611","89","cubewano; binary"
"Nemesis 128","88.97","belt asteroid type C"
"Aegle 96","88.887","belt asteroid type T"
"Diotima 423","87.929","belt asteroid type C"
"S/2015 (136472) 1","87.5","moon of Makemake"
"Galatea","87.4","moon of Neptune"
"Aletheia 259","87.159","belt asteroid type CP/type X"
"Phorcys","87","secondary of 65489 Ceto"
"Palma 372","86.821","belt asteroid type B"
"Alauda 702","86.145","belt asteroid type C; binary"
"Winchester 747","85.855","belt asteroid type C"
"Aspasia 409","85.506","belt asteroid type C"
"Hilda 153","85.315","outer belt asteroid; Hildas"
"Pretoria 790","85.185","outer belt asteroid type P; Cybele asteroid"
